chr1	x1	x2	chr2	y1	y2	color	loop_id	aggregated_id	anchor_TSS_proximal_A1	anchor_TSS_proximal_A2
2L	4118483	4119801	2L	7896905	7898342	85,107,47	Dvir_L1	Dvir_L1	0	0
2L	8927969	8937216	2L	10256416	10258639	85,107,47	Dvir_L10	Dvir_L10	0	0
2L	18654282	18655166	2L	27045373	27059187	85,107,47	Dvir_L11	Dvir_L11_L12_L13	0	1
2L	18676087	18676538	2L	27045373	27059187	85,107,47	Dvir_L12	Dvir_L11_L12_L13	0	1
2L	18766976	18768144	2L	27045373	27059187	85,107,47	Dvir_L13	Dvir_L11_L12_L13	0	1
2L	18880396	18881575	2L	20095771	20096890	85,107,47	Dvir_L14	Dvir_L14	1	1
2L	20049756	20050921	2L	29116905	29117849	85,107,47	Dvir_L15	Dvir_L15	0	0
2L	26358125	26359595	2L	29705055	29707330	85,107,47	Dvir_L16	Dvir_L16_L17_L18	0	0
2L	26358125	26359595	2L	29793772	29794805	85,107,47	Dvir_L17	Dvir_L16_L17_L18	0	0
2L	29705055	29707330	2L	29793772	29794805	85,107,47	Dvir_L18	Dvir_L16_L17_L18	0	0
2R	6100900	6102528	2R	6552834	6554178	85,107,47	Dvir_L19	Dvir_L19	1	0
2L	4118483	4119801	2L	10141796	10145376	85,107,47	Dvir_L2	Dvir_L2_L3	0	1
2R	16044251	16052988	2R	24264093	24266041	85,107,47	Dvir_L20	Dvir_L20_L21_L22_L23_L24	0	0
2R	16044251	16052988	2R	24284943	24286468	85,107,47	Dvir_L21	Dvir_L20_L21_L22_L23_L24	0	0
2R	16151534	16152910	2R	24264093	24266041	85,107,47	Dvir_L22	Dvir_L20_L21_L22_L23_L24	1	0
2R	16151534	16152910	2R	24284943	24286468	85,107,47	Dvir_L23	Dvir_L20_L21_L22_L23_L24	1	0
2R	16044251	16052988	2R	16151534	16152910	85,107,47	Dvir_L24	Dvir_L20_L21_L22_L23_L24	0	1
3L	3007350	3018844	3L	7739125	7743449	85,107,47	Dvir_L25	Dvir_L25	1	1
3L	6217784	6223041	3L	19631591	19632951	85,107,47	Dvir_L26	Dvir_L26_L27	1	1
3L	6217784	6223041	3L	19649567	19651019	85,107,47	Dvir_L27	Dvir_L26_L27	1	0
3L	9827326	9838993	3L	16501959	16503799	85,107,47	Dvir_L28	Dvir_L28_L29	1	0
3L	9827326	9838993	3L	16597928	16600043	85,107,47	Dvir_L29	Dvir_L28_L29	1	1
2L	4132407	4138650	2L	10231171	10233154	85,107,47	Dvir_L3	Dvir_L2_L3	1	1
3L	13549967	13550625	3L	13801642	13803369	85,107,47	Dvir_L30	Dvir_L30_L31_L32	0	1
3L	13549967	13550625	3L	14415528	14417532	85,107,47	Dvir_L31	Dvir_L30_L31_L32	0	1
3L	13801642	13803369	3L	14415528	14417532	85,107,47	Dvir_L32	Dvir_L30_L31_L32	1	1
3L	14661502	14663750	3L	24737135	24738128	85,107,47	Dvir_L33	Dvir_L33_L34_L35	0	0
3L	14705374	14712100	3L	24829620	24830728	85,107,47	Dvir_L34	Dvir_L33_L34_L35	1	0
3L	14705374	14712100	3L	24903833	24911364	85,107,47	Dvir_L35	Dvir_L33_L34_L35	1	1
3L	17875746	17877499	3L	26425468	26426557	85,107,47	Dvir_L36	Dvir_L36_L37	0	1
3L	17875746	17877499	3L	26542942	26549472	85,107,47	Dvir_L37	Dvir_L36_L37	0	1
3L	18229534	18253443	3L	26197183	26199235	85,107,47	Dvir_L38	Dvir_L38	1	0
3R	2489058	2489713	3R	13013804	13014876	85,107,47	Dvir_L39	Dvir_L39_L40_L41_L42_L43	0	0
2L	5090749	5092354	2L	7408851	7415940	85,107,47	Dvir_L4	Dvir_L4	0	0
3R	2489058	2489713	3R	13078587	13081027	85,107,47	Dvir_L40	Dvir_L39_L40_L41_L42_L43	0	0
3R	2546456	2549333	3R	13013804	13014876	85,107,47	Dvir_L41	Dvir_L39_L40_L41_L42_L43	0	0
3R	2546456	2549333	3R	13078587	13081027	85,107,47	Dvir_L42	Dvir_L39_L40_L41_L42_L43	0	0
3R	2489058	2489713	3R	2546456	2549333	85,107,47	Dvir_L43	Dvir_L39_L40_L41_L42_L43	0	0
3R	9782990	9797619	3R	29869278	29876725	85,107,47	Dvir_L44	Dvir_L44_L45	1	1
3R	9782990	9797619	3R	29910086	29914115	85,107,47	Dvir_L45	Dvir_L44_L45	1	1
3R	11001394	11002977	3R	14342531	14344101	85,107,47	Dvir_L46	Dvir_L46_L47	0	1
3R	11016278	11018495	3R	14358846	14361686	85,107,47	Dvir_L47	Dvir_L46_L47	1	1
3R	14193020	14194180	3R	26264551	26265720	85,107,47	Dvir_L48	Dvir_L48_L49	0	1
3R	14245443	14248207	3R	26237947	26241136	85,107,47	Dvir_L49	Dvir_L48_L49	1	1
2L	5090749	5092354	2L	9160895	9162302	85,107,47	Dvir_L5	Dvir_L5	0	0
3R	31309166	31310615	3R	32615123	32624194	85,107,47	Dvir_L50	Dvir_L50_L51_L52	1	0
3R	31309166	31310615	3R	32682199	32684030	85,107,47	Dvir_L51	Dvir_L50_L51_L52	1	0
3R	32615123	32624194	3R	32682199	32684030	85,107,47	Dvir_L52	Dvir_L50_L51_L52	0	0
X	1381720	1385119	X	20054675	20056798	85,107,47	Dvir_L53	Dvir_L53_L54	0	0
X	1412318	1413770	X	19969732	19978668	85,107,47	Dvir_L54	Dvir_L53_L54	0	1
X	4534058	4535805	X	18726265	18729546	85,107,47	Dvir_L55	Dvir_L55_L56	0	0
X	4534058	4535805	X	18872575	18873415	85,107,47	Dvir_L56	Dvir_L55_L56	0	0
X	4534058	4535805	X	16263926	16267376	85,107,47	Dvir_L57	Dvir_L57	0	1
X	11783160	11787293	X	13179765	13180413	85,107,47	Dvir_L58	Dvir_L58	1	0
X	16263926	16267376	X	18703918	18709918	85,107,47	Dvir_L59	Dvir_L59_L60_L61_L62	1	1
2L	7389366	7390715	2L	9139097	9141365	85,107,47	Dvir_L6	Dvir_L6_L7	0	0
X	16316637	16317302	X	18703918	18709918	85,107,47	Dvir_L60	Dvir_L59_L60_L61_L62	0	1
X	16343755	16345105	X	18703918	18709918	85,107,47	Dvir_L61	Dvir_L59_L60_L61_L62	0	1
X	16263926	16267376	X	16343755	16345105	85,107,47	Dvir_L62	Dvir_L59_L60_L61_L62	1	0
X	20181906	20183022	X	25198643	25199244	85,107,47	Dvir_L63	Dvir_L63_L64	0	0
X	20200588	20201736	X	25198643	25199244	85,107,47	Dvir_L64	Dvir_L63_L64	0	0
2L	7408851	7415940	2L	9160895	9162302	85,107,47	Dvir_L7	Dvir_L6_L7	0	0
2L	7896905	7898342	2L	10141796	10145376	85,107,47	Dvir_L8	Dvir_L8_L9	0	1
2L	7896905	7898342	2L	10231171	10233154	85,107,47	Dvir_L9	Dvir_L8_L9	0	1
