loop_id	aggregated_id	A1_type	A1_nearest_gene_symbol	A2_type	A2_nearest_gene_symbol	distance	n_candidate	A1_chain_id	A1_chrom	A1_start	A1_end	A1_other_chrom	A1_other_start	A1_other_end	A1_chain_range	A1_other_chain_range	A1_other_chain_strand	A1_other_loop_id	A1_other_anchor	A1_exon_fraction	A1_other_exon_fraction	A2_chain_id	A2_chrom	A2_start	A2_end	A2_other_chrom	A2_other_start	A2_other_end	A2_chain_range	A2_other_chain_range	A2_other_chain_strand	A2_other_loop_id	A2_other_anchor	A2_exon_fraction	A2_other_exon_fraction	other_loop_id
Dvir_L1	Dvir_L1	I	Dvir\GJ18203	I	Dvir\GJ14401	3778481	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L12	2	0.239561586638831	0.25204383371021	7242	2L	7895429	7900008	2L	9080876	9084957	2L:7811940-7922128	2L:9020939-9104253	+	L11	2	0.0121131825494464	0.0416548864386014	NA
Dvir_L1	Dvir_L1	I	Dvir\GJ18203	I	Dvir\GJ14401	3778481	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L12	2	0.239561586638831	0.25204383371021	7242	2L	7895429	7900008	2L	9080876	9084957	2L:7811940-7922128	2L:9020939-9104253	+	L13	1	0.0121131825494464	0.0416548864386014	NA
Dvir_L1	Dvir_L1	I	Dvir\GJ18203	I	Dvir\GJ14401	3778481	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L13	2	0.239561586638831	0.25204383371021	7242	2L	7895429	7900008	2L	9080876	9084957	2L:7811940-7922128	2L:9020939-9104253	+	L11	2	0.0121131825494464	0.0416548864386014	NA
Dvir_L1	Dvir_L1	I	Dvir\GJ18203	I	Dvir\GJ14401	3778481	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L13	2	0.239561586638831	0.25204383371021	7242	2L	7895429	7900008	2L	9080876	9084957	2L:7811940-7922128	2L:9020939-9104253	+	L13	1	0.0121131825494464	0.0416548864386014	L13
Dvir_L2	Dvir_L2_L3	I	Dvir\GJ18203	P	Dvir\GJ12903	6024444	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L12	2	0.239561586638831	0.25204383371021	10572	2L	10140762	10147472	2L	6409916	6413987	2L:10126927-10148768	2L:6409119-6426307	-	L11	1	0.652356020942408	0.664010067114094	NA
Dvir_L2	Dvir_L2_L3	I	Dvir\GJ18203	P	Dvir\GJ12903	6024444	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L12	2	0.239561586638831	0.25204383371021	10572	2L	10140762	10147472	2L	6409916	6413987	2L:10126927-10148768	2L:6409119-6426307	-	L12	1	0.652356020942408	0.664010067114094	L12
Dvir_L2	Dvir_L2_L3	I	Dvir\GJ18203	P	Dvir\GJ12903	6024444	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L13	2	0.239561586638831	0.25204383371021	10572	2L	10140762	10147472	2L	6409916	6413987	2L:10126927-10148768	2L:6409119-6426307	-	L11	1	0.652356020942408	0.664010067114094	NA
Dvir_L2	Dvir_L2_L3	I	Dvir\GJ18203	P	Dvir\GJ12903	6024444	1	2413	2L	4114266	4121668	2L	9484614	9491173	2L:4084872-4122535	2L:9482856-9520662	-	L13	2	0.239561586638831	0.25204383371021	10572	2L	10140762	10147472	2L	6409916	6413987	2L:10126927-10148768	2L:6409119-6426307	-	L12	1	0.652356020942408	0.664010067114094	NA
Dvir_L3	Dvir_L2_L3	P	Dvir\GJ18204, Dvir\GJ18205	P	Dvir\GJ12837	6096634	2	2450	2L	4129936	4132704	2L	9465422	9468814	2L:4121668-4132704	2L:9465423-9477865	-	L10	2	0	0	10705	2L	10228595	10234568	2L	6355402	6360174	2L:10226639-10238063	2L:6352322-6361421	-	L10	1	0.480190174326466	0.61259842519685	L10
Dvir_L3	Dvir_L2_L3	P	Dvir\GJ18204, Dvir\GJ18205	P	Dvir\GJ12837	6096634	2	2475	2L	4134925	4140444	2L	9435586	9441902	2L:4134926-4140511	2L:9435587-9441962	+	NA	NA	0.858333333333333	0.870212765957447	10705	2L	10228595	10234568	2L	6355402	6360174	2L:10226639-10238063	2L:6352322-6361421	-	L10	1	0.480190174326466	0.61259842519685	NA
