chrom	start	end	loop_id	aggregated_id	anchor	midpoint	anchor_TSS_proximal	anchor_distance_to_TSS	anchor_nearest_gene_id	anchor_nearest_gene_symbol	loop_anchor_distance	peak_id
2L	4110000	4125000	D_vir_L1	D_vir_L1	A1	4117500	1	0	FBgn0205187, FBgn0205368	Dvir\GJ18022, Dvir\GJ18203	3780000	D_vir_P1
2L	7890000	7905000	D_vir_L1	D_vir_L1	A2	7897500	1	0	FBgn0201285, FBgn0201614	Dvir\GJ14067, Dvir\GJ14401	3780000	D_vir_P2
2L	4110000	4125000	D_vir_L2	D_vir_L2_L3	A1	4117500	1	0	FBgn0205187, FBgn0205368	Dvir\GJ18022, Dvir\GJ18203	6025000	D_vir_P1
2L	10135000	10150000	D_vir_L2	D_vir_L2_L3	A2	10142500	1	0	FBgn0202365, FBgn0200138	Dvir\GJ15168, Dvir\GJ12903	6025000	D_vir_P3
2L	4129000	4138000	D_vir_L3	D_vir_L2_L3	A1	4133500	1	0	FBgn0205369, FBgn0205370	Dvir\GJ18204, Dvir\GJ18205	6097500	D_vir_P4
2L	10227000	10235000	D_vir_L3	D_vir_L2_L3	A2	10231000	1	0	FBgn0200063, FBgn0200072	Dvir\GJ12828, Dvir\GJ12837	6097500	D_vir_P5
2L	5087000	5097000	D_vir_L4	D_vir_L4	A1	5092000	1	0	FBgn0205135, FBgn0205428	Dvir\GJ17968, Dvir\GJ18267	2316500	D_vir_P6
2L	7401000	7416000	D_vir_L4	D_vir_L4	A2	7408500	0	26659	FBgn0205544	Dvir\GJ18385	2316500	D_vir_P7
2L	5087000	5097000	D_vir_L5	D_vir_L5	A1	5092000	1	0	FBgn0205135, FBgn0205428	Dvir\GJ17968, Dvir\GJ18267	4069000	D_vir_P6
2L	9156000	9166000	D_vir_L5	D_vir_L5	A2	9161000	1	0	FBgn0200791	Dvir\GJ13567	4069000	D_vir_P8
2L	7385000	7394000	D_vir_L6	D_vir_L6_L7	A1	7389500	0	10659	FBgn0205544	Dvir\GJ18385	1750000	D_vir_P9
2L	9135000	9144000	D_vir_L6	D_vir_L6_L7	A2	9139500	0	2526	FBgn0200791	Dvir\GJ13567	1750000	D_vir_P10
2L	7401000	7416000	D_vir_L7	D_vir_L6_L7	A1	7408500	0	26659	FBgn0205544	Dvir\GJ18385	1752500	D_vir_P7
2L	9156000	9166000	D_vir_L7	D_vir_L6_L7	A2	9161000	1	0	FBgn0200791	Dvir\GJ13567	1752500	D_vir_P8
2L	7890000	7905000	D_vir_L8	D_vir_L8_L9	A1	7897500	1	0	FBgn0201285, FBgn0201614	Dvir\GJ14067, Dvir\GJ14401	2245000	D_vir_P2
2L	10135000	10150000	D_vir_L8	D_vir_L8_L9	A2	10142500	1	0	FBgn0202365, FBgn0200138	Dvir\GJ15168, Dvir\GJ12903	2245000	D_vir_P3
2L	7890000	7905000	D_vir_L9	D_vir_L8_L9	A1	7897500	1	0	FBgn0201285, FBgn0201614	Dvir\GJ14067, Dvir\GJ14401	2333500	D_vir_P2
2L	10227000	10235000	D_vir_L9	D_vir_L8_L9	A2	10231000	1	0	FBgn0200063, FBgn0200072	Dvir\GJ12828, Dvir\GJ12837	2333500	D_vir_P5
2L	8915000	8940000	D_vir_L10	D_vir_L10	A1	8927500	1	0	FBgn0200844	Dvir\GJ13623	1327500	D_vir_P11
2L	10245000	10265000	D_vir_L10	D_vir_L10	A2	10255000	1	0	FBgn0202423, FBgn0200052, FBgn0200083	Dvir\GJ15227, Dvir\GJ12817, Dvir\GJ12848	1327500	D_vir_P12
2L	18642500	18662500	D_vir_L11	D_vir_L11_L12_L13	A1	18652500	1	0	FBgn0204534	Dvir\GJ17362	8402500	D_vir_P13
2L	27045000	27065000	D_vir_L11	D_vir_L11_L12_L13	A2	27055000	1	0	FBgn0204974, FBgn0204975	Dvir\GJ17806, Dvir\GJ17807	8402500	D_vir_P14
2L	18665000	18687500	D_vir_L12	D_vir_L11_L12_L13	A1	18676250	1	0	FBgn0204535	Dvir\GJ17363	8378750	D_vir_P15
2L	27045000	27065000	D_vir_L12	D_vir_L11_L12_L13	A2	27055000	1	0	FBgn0204974, FBgn0204975	Dvir\GJ17806, Dvir\GJ17807	8378750	D_vir_P14
2L	18755000	18780000	D_vir_L13	D_vir_L11_L12_L13	A1	18767500	1	0	FBgn0204545, FBgn0204546, FBgn0204547, FBgn0210611	Dvir\GJ17373, Dvir\GJ17374, Dvir\GJ17375, Dvir\GJ23513	8287500	D_vir_P16
2L	27045000	27065000	D_vir_L13	D_vir_L11_L12_L13	A2	27055000	1	0	FBgn0204974, FBgn0204975	Dvir\GJ17806, Dvir\GJ17807	8287500	D_vir_P14
2L	18865000	18900000	D_vir_L14	D_vir_L14	A1	18882500	1	0	FBgn0204551, FBgn0204552, FBgn0204554, FBgn0204555, FBgn0210519, FBgn0210529, FBgn0210540, FBgn0210550, FBgn0210559, FBgn0210569	Dvir\GJ17379, Dvir\GJ17380, Dvir\GJ17382, Dvir\GJ17383, Dvir\GJ23418, Dvir\GJ23429, Dvir\GJ23440, Dvir\GJ23451, Dvir\GJ23460, Dvir\GJ23471	1215000	D_vir_P17
2L	20085000	20110000	D_vir_L14	D_vir_L14	A2	20097500	1	0	FBgn0204609, FBgn0204610, FBgn0204611, FBgn0210000, FBgn0210011, FBgn0210022	Dvir\GJ17437, Dvir\GJ17438, Dvir\GJ17439, Dvir\GJ22897, Dvir\GJ22908, Dvir\GJ22919	1215000	D_vir_P18
2L	20038000	20061000	D_vir_L15	D_vir_L15	A1	20049500	1	0	FBgn0204603, FBgn0204604, FBgn0204605, FBgn0204606, FBgn0210055, FBgn0210066, FBgn0210075	Dvir\GJ17431, Dvir\GJ17432, Dvir\GJ17433, Dvir\GJ17434, Dvir\GJ22952, Dvir\GJ22963, Dvir\GJ22973	9058000	D_vir_P19
2L	29098000	29117000	D_vir_L15	D_vir_L15	A2	29107500	1	0	FBgn0203353	Dvir\GJ16168	9058000	D_vir_P20
2L	26350000	26370000	D_vir_L16	D_vir_L16_L17	A1	26360000	1	0	FBgn0206908	Dvir\GJ19766	3350000	D_vir_P21
2L	29702500	29717500	D_vir_L16	D_vir_L16_L17	A2	29710000	1	0	FBgn0203424	Dvir\GJ16239	3350000	D_vir_P22
2L	26350000	26370000	D_vir_L17	D_vir_L16_L17	A1	26360000	1	0	FBgn0206908	Dvir\GJ19766	3431250	D_vir_P21
2L	29782500	29800000	D_vir_L17	D_vir_L16_L17	A2	29791250	0	25600	FBgn0203423	Dvir\GJ16238	3431250	D_vir_P23
2R	16045000	16057500	D_vir_L18	D_vir_L18_L19_L20_L21	A1	16051250	0	5058	FBgn0208851	Dvir\GJ21732	8213750	D_vir_P24
2R	24260000	24270000	D_vir_L18	D_vir_L18_L19_L20_L21	A2	24265000	1	0	FBgn0206925	Dvir\GJ19783	8213750	D_vir_P25
2R	16045000	16057500	D_vir_L19	D_vir_L18_L19_L20_L21	A1	16051250	0	5058	FBgn0208851	Dvir\GJ21732	8233750	D_vir_P24
2R	24280000	24290000	D_vir_L19	D_vir_L18_L19_L20_L21	A2	24285000	0	16565	FBgn0206922	Dvir\GJ19780	8233750	D_vir_P26
2R	16150000	16160000	D_vir_L20	D_vir_L18_L19_L20_L21	A1	16155000	1	0	FBgn0208849	Dvir\GJ21730	8110000	D_vir_P27
2R	24260000	24270000	D_vir_L20	D_vir_L18_L19_L20_L21	A2	24265000	1	0	FBgn0206925	Dvir\GJ19783	8110000	D_vir_P25
2R	16150000	16160000	D_vir_L21	D_vir_L18_L19_L20_L21	A1	16155000	1	0	FBgn0208849	Dvir\GJ21730	8130000	D_vir_P27
2R	24280000	24290000	D_vir_L21	D_vir_L18_L19_L20_L21	A2	24285000	0	16565	FBgn0206922	Dvir\GJ19780	8130000	D_vir_P26
3L	3000000	3027500	D_vir_L22	D_vir_L22	A1	3013750	1	0	FBgn0198605, FBgn0201197	Dvir\GJ11346, Dvir\GJ13979	4725000	D_vir_P28
3L	7730000	7747500	D_vir_L22	D_vir_L22	A2	7738750	1	0	FBgn0198844, FBgn0198845, FBgn0200955, FBgn0200956	Dvir\GJ11587, Dvir\GJ11588, Dvir\GJ13734, Dvir\GJ13735	4725000	D_vir_P29
3L	6218000	6229000	D_vir_L23	D_vir_L23_L24	A1	6223500	1	0	FBgn0201050, FBgn0201051	Dvir\GJ13831, Dvir\GJ13832	13408000	D_vir_P30
3L	19627000	19636000	D_vir_L23	D_vir_L23_L24	A2	19631500	1	0	FBgn0200273	Dvir\GJ13039	13408000	D_vir_P31
3L	6218000	6229000	D_vir_L24	D_vir_L23_L24	A1	6223500	1	0	FBgn0201050, FBgn0201051	Dvir\GJ13831, Dvir\GJ13832	13427500	D_vir_P30
3L	19646000	19656000	D_vir_L24	D_vir_L23_L24	A2	19651000	0	1850	FBgn0199572	Dvir\GJ12326	13427500	D_vir_P32
3L	9825000	9840000	D_vir_L25	D_vir_L25_L26	A1	9832500	1	0	FBgn0198972, FBgn0200873	Dvir\GJ11718, Dvir\GJ13652	6671250	D_vir_P33
3L	16497500	16510000	D_vir_L25	D_vir_L25_L26	A2	16503750	1	196	FBgn0200483	Dvir\GJ13257	6671250	D_vir_P34
3L	9825000	9840000	D_vir_L26	D_vir_L25_L26	A1	9832500	1	0	FBgn0198972, FBgn0200873	Dvir\GJ11718, Dvir\GJ13652	6765000	D_vir_P33
3L	16592500	16602500	D_vir_L26	D_vir_L25_L26	A2	16597500	1	0	FBgn0199355, FBgn0200480, FBgn0200481, FBgn0200483	Dvir\GJ12103, Dvir\GJ13254, Dvir\GJ13255, Dvir\GJ13257	6765000	D_vir_P35
3L	14657500	14670000	D_vir_L27	D_vir_L27_L28_L29	A1	14663750	1	0	FBgn0199233	Dvir\GJ11981	10073750	D_vir_P36
3L	24732500	24742500	D_vir_L27	D_vir_L27_L28_L29	A2	24737500	0	11069	FBgn0199905	Dvir\GJ12668	10073750	D_vir_P37
3L	14705000	14715000	D_vir_L28	D_vir_L27_L28_L29	A1	14710000	1	0	FBgn0200604, FBgn0200605	Dvir\GJ13379, Dvir\GJ13380	10120000	D_vir_P38
3L	24825000	24835000	D_vir_L28	D_vir_L27_L28_L29	A2	24830000	1	0	FBgn0199989	Dvir\GJ12753	10120000	D_vir_P39
3L	14705000	14715000	D_vir_L29	D_vir_L27_L28_L29	A1	14710000	1	0	FBgn0200604, FBgn0200605	Dvir\GJ13379, Dvir\GJ13380	10197500	D_vir_P38
3L	24902500	24912500	D_vir_L29	D_vir_L27_L28_L29	A2	24907500	1	0	FBgn0199985, FBgn0199988	Dvir\GJ12749, Dvir\GJ12752	10197500	D_vir_P40
3L	17865000	17875000	D_vir_L30	D_vir_L30_L31	A1	17870000	1	0	FBgn0199466	Dvir\GJ12216	8556250	D_vir_P41
3L	26422500	26430000	D_vir_L30	D_vir_L30_L31	A2	26426250	1	0	FBgn0202660, FBgn0282597	Dvir\GJ15467, Dvir\GJ26328	8556250	D_vir_P42
3L	17865000	17875000	D_vir_L31	D_vir_L30_L31	A1	17870000	1	0	FBgn0199466	Dvir\GJ12216	8676250	D_vir_P41
