loop_id	aggregated_id	A1_type	A1_nearest_gene_symbol	A2_type	A2_nearest_gene_symbol	distance	n_candidate	n_observed	other_loop_id	other_distance	A1_other_chrom	A1_other_start	A1_other_end	A2_other_chrom	A2_other_start	A2_other_end	A1_other_anchor	A1_chain_id	A1_chain_range	A1_other_chain_range	A1_other_chain_strand	A2_other_anchor	A2_chain_id	A2_chain_range	A2_other_chain_range	A2_other_chain_strand	A1_exon_fraction	A1_other_exon_fraction	A2_exon_fraction	A2_other_exon_fraction	critical_exon_fraction	other_orientation
Dvir_L1	Dvir_L1	I	Dvir\GJ18203	I	Dvir\GJ14401	3778481	1	1	L13	403285	2L	9083037	9083252	2L	9486317	9486504	2	2413	2L:4084872-4122535	2L:9482856-9520662	-	1	7242	2L:7811940-7922128	2L:9020939-9104253	+	0.239561586638831	0.25204383371021	0.0121131825494464	0.0416548864386014	0.25204383371021	single_inv
Dvir_L2	Dvir_L2_L3	I	Dvir\GJ18203	P	Dvir\GJ12903	6024444	1	1	L12	3075082	2L	6411271	6411420	2L	9486317	9486504	2	2413	2L:4084872-4122535	2L:9482856-9520662	-	1	10572	2L:10126927-10148768	2L:6409119-6426307	-	0.239561586638831	0.25204383371021	0.652356020942408	0.664010067114094	0.664010067114094	original
Dvir_L3	Dvir_L2_L3	P	Dvir\GJ18204, Dvir\GJ18205	P	Dvir\GJ12837	6096634	2	1	L10	3107701	2L	6356962	6357076	2L	9464540	9464794	2	2450	2L:4121668-4132704	2L:9465423-9477865	-	1	10705	2L:10226639-10238063	2L:6352322-6361421	-	0	0	0.480190174326466	0.61259842519685	0.61259842519685	original
Dvir_L4	Dvir_L4	I	Dvir\GJ17968	I	Dvir\GJ18385	2320844	1	1	L17	6880496	2L	13349488	13349601	2L	20229934	20230109	1	4110	2L:5046005-5116957	2L:13333993-13387081	-	2	6918	2L:7354101-7414205	2L:20225414-20271828	-	0.382478184991274	0.407541646337213	0.0999788180470239	0.124107517849643	0.407541646337213	double_inv
Dvir_L5	Dvir_L5	I	Dvir\GJ17968	I	Dvir\GJ13567	4070047	1	1	L16	6241120	2L	13349488	13349601	2L	19590435	19590878	1	4110	2L:5046005-5116957	2L:13333993-13387081	-	2	9000	2L:9105577-9170159	2L:19583042-19635002	-	0.382478184991274	0.407541646337213	0.0313705962903025	0.0500372485721381	0.407541646337213	double_inv
Dvir_L6	Dvir_L6_L7	I	Dvir\GJ18385	I	Dvir\GJ13567	1750191	1	1	L21	636737	2L	19605730	19606453	2L	20242787	20242903	2	6918	2L:7354101-7414205	2L:20225414-20271828	-	1	9000	2L:9105577-9170159	2L:19583042-19635002	-	0.0999788180470239	0.124107517849643	0.0313705962903025	0.0500372485721381	0.124107517849643	original
Dvir_L7	Dvir_L6_L7	I	Dvir\GJ18385	I	Dvir\GJ13567	1749203	1	1	L20	639376	2L	19590435	19590878	2L	20229934	20230109	2	6918	2L:7354101-7414205	2L:20225414-20271828	-	1	9000	2L:9105577-9170159	2L:19583042-19635002	-	0.0999788180470239	0.124107517849643	0.0313705962903025	0.0500372485721381	0.124107517849643	original
Dvir_L8	Dvir_L8_L9	I	Dvir\GJ14401	P	Dvir\GJ12903	2245963	1	1	L11	2671797	2L	6411271	6411420	2L	9083037	9083252	2	7242	2L:7811940-7922128	2L:9020939-9104253	+	1	10572	2L:10126927-10148768	2L:6409119-6426307	-	0.0121131825494464	0.0416548864386014	0.652356020942408	0.664010067114094	0.664010067114094	single_inv
Dvir_L9	Dvir_L8_L9	I	Dvir\GJ14401	P	Dvir\GJ12837	2334539	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L10	Dvir_L10	I	Dvir\GJ13623	I	Dvir\GJ12817	1324935	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L11	Dvir_L11_L12_L13	I	Dvir\GJ17362	P	Dvir\GJ17806, Dvir\GJ17807	8397556	1	1	L4	1676593	2L	918896	918995	2L	2595491	2595585	2	21822	2L:18633836-18736814	2L:2581442-2656066	+	1	33405	2L:26961197-27132044	2L:847925-973533	+	0.0107727199092824	0.0460836997231721	0.296060799879604	0.313959189831403	0.313959189831403	double_inv
Dvir_L12	Dvir_L11_L12_L13	I	Dvir\GJ17363	P	Dvir\GJ17806, Dvir\GJ17807	8375968	1	1	L5	1689957	2L	921771	922766	2L	2612166	2612266	2	21822	2L:18633836-18736814	2L:2581442-2656066	+	1	33405	2L:26961197-27132044	2L:847925-973533	+	0.0107727199092824	0.0460836997231721	0.296060799879604	0.313959189831403	0.313959189831403	double_inv
Dvir_L13	Dvir_L11_L12_L13	I	Dvir\GJ23513	P	Dvir\GJ17806, Dvir\GJ17807	8284720	1	1	L6	1755459	2L	921771	922766	2L	2677575	2677786	2	21981	2L:18739996-18877149	2L:2655786-2767671	+	1	33405	2L:26961197-27132044	2L:847925-973533	+	0.35609649122807	0.388982004234298	0.296060799879604	0.313959189831403	0.388982004234298	double_inv
Dvir_L14	Dvir_L14	P	Dvir\GJ17383	P	Dvir\GJ17438	1215345	2	1	L8	2786967	2L	2006512	2006610	2L	4791907	4794506	2	22233	2L:18881177-18965092	2L:4732826-4794056	-	1	24210	2L:20054912-20138481	2L:1964478-2072137	-	0.114861697140178	0.118122219620698	0.306563706563707	0.313174491941135	0.313174491941135	original
Dvir_L15	Dvir_L15	I	Dvir\GJ17434	I	Dvir\GJ16171	9067039	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L16	Dvir_L16_L17_L18	I	Dvir\GJ19766	I	Dvir\GJ16239	3347332	1	1	L1	16865113	2L	395670	395790	2L	17260794	17260893	1	32402	2L:26313130-26433942	2L:358174-454387	+	2	36580	2L:29623341-29726406	2L:17184074-17287996	+	0.375541769354976	0.377370551885787	0	0.00876608965823347	0.377370551885787	original
Dvir_L17	Dvir_L16_L17_L18	I	Dvir\GJ19766	I	Dvir\GJ16238	3435428	1	1	L2	16932336	2L	395670	395790	2L	17328015	17328118	1	32402	2L:26313130-26433942	2L:358174-454387	+	2	36769	2L:29789891-29855667	2L:17323009-17385914	+	0.375541769354976	0.377370551885787	0.0175486328390695	0.0276722734671731	0.377370551885787	original
Dvir_L18	Dvir_L16_L17_L18	I	Dvir\GJ16239	I	Dvir\GJ16238	88096	1	1	L3	67223	2L	17260794	17260893	2L	17328015	17328118	1	36580	2L:29623341-29726406	2L:17184074-17287996	+	2	36769	2L:29789891-29855667	2L:17323009-17385914	+	0	0.00876608965823347	0.0175486328390695	0.0276722734671731	0.0276722734671731	original
Dvir_L19	Dvir_L19	P	Dvir\GJ19910	I	Dvir\GJ22416	451792	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L20	Dvir_L20_L21_L22_L23_L24	I	Dvir\GJ21732	I	Dvir\GJ19783	8216448	1	1	L26	6311640	2R	8797637	8798296	2R	15109555	15109656	2	59057	2R:16044306-16150178	2R:15013873-15116288	-	1	70814	2R:24231879-24341627	2R:8726633-8827577	-	0	0.00739669651298593	0.135843072766782	0.147732585320243	0.147732585320243	original
Dvir_L21	Dvir_L20_L21_L22_L23_L24	I	Dvir\GJ21732	I	Dvir\GJ19783	8237086	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L22	Dvir_L20_L21_L22_L23_L24	P	Dvir\GJ21730	I	Dvir\GJ19783	8112845	1	1	L25	6213119	2R	8797637	8798296	2R	15010785	15011360	2	59293	2R:16150131-16294063	2R:14899528-15013001	-	1	70814	2R:24231879-24341627	2R:8726633-8827577	-	0.337590445471188	0.391871265971829	0.135843072766782	0.147732585320243	0.391871265971829	original
Dvir_L23	Dvir_L20_L21_L22_L23_L24	P	Dvir\GJ21730	I	Dvir\GJ19783	8133483	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Dvir_L24	Dvir_L20_L21_L22_L23_L24	I	Dvir\GJ21732	P	Dvir\GJ21730	103603	1	1	L27	98521	2R	15010785	15011360	2R	15109555	15109656	2	59057	2R:16044306-16150178	2R:15013873-15116288	-	1	59293	2R:16150131-16294063	2R:14899528-15013001	-	0	0.00739669651298593	0.337590445471188	0.391871265971829	0.391871265971829	original
